,Experience,Age,Success,Education,Fav_lang_C++,Fav_lang_JavaScript,Fav_lang_MATLAB,Fav_lang_Python,Fav_lang_R,Fav_lang_Scala,Fav_lang_Whitespace,Fav_movie_And Now for Something Completely Different,Fav_movie_Monty Python Live at the Hollywood Bowl,Fav_movie_Monty Python and the Holy Grail,Fav_movie_Monty Python's Life of Brian,Fav_movie_Monty Python's The Meaning of Life,Fav_movie_Time Bandits,Sklearn_Nope.,Sklearn_Yep!,Humans_Machines_Skynet is a WINNER!,Humans_Machines_Team Humans!,Fav_Game_Chess,Fav_Game_Go,Fav_Game_Longing for the sweet release of death,"Fav_Game_Tic-tac-toe (Br. Eng. ""noughts and crosses"")"
0,20.0,53,False,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
1,4.0,33,True,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
2,1.0,31,True,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
3,12.0,60,False,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
4,7.0,48,False,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
5,3.0,32,True,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
6,3.0,34,True,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
7,5.0,24,False,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
8,4.0,34,True,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
9,0.0,32,True,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
10,2.0,46,True,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
11,1.0,27,True,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
12,0.2,43,True,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
13,5.0,32,True,7,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
14,2.0,41,True,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
15,7.0,28,True,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
16,4.0,47,True,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
17,2.0,27,True,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
18,4.0,37,True,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
19,2.0,60,False,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
20,2.0,41,False,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
21,3.0,27,False,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
22,2.0,40,True,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
23,4.0,29,False,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
24,3.0,28,True,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
25,2.0,36,True,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
26,1.0,28,True,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
